7092,1,1,tmotm,SoukiheiMDGeist-tmotm-1-1.rar,m.d.geist.(1986).hun.1cd.(5570086).zip,./Feltoltes/SoukiheiMDGeist/,Soukihei MD Geist
3525,1,1,tmotm,AiCity-tmotm-1-1.rar,ai.shiti.(1986).hun.1cd.(6057983).zip,./Feltoltes/AiCity/,Ai City
2310,1,1,Vörös Édua,LilyCAT-Vörös Édua-1-1.rar,lily.c.a.t.(1987).hun.1cd.(7161379).zip,./Feltoltes/LilyCAT/,Lily C.A.T.
9659,1,1,tmotm,BodyJackTanoshiiYutaiRidatsu-tmotm-1-1.rar,bodijakku.tanoshi.yutai.ridatsu.(1987).hun.1cd.(6057901).zip,./Feltoltes/BodyJackTanoshiiYutaiRidatsu/,Body Jack: Tanoshii Yutai Ridatsu
14481,1,2,tmotm,DarkShellLustInTheCage-tmotm-1-2.rar,cage.(0).hun.1cd.(5807033).zip,./Feltoltes/DarkShellLustInTheCage/,Dark Shell: Lust In The Cage
6772,1,1,tmotm,KyoushokuSoukouGuyver-tmotm-1-1.rar,kyoshoku.soko.guyver.kikaku.gaihin.(1986).hun.1cd.(5802921).zip,./Feltoltes/KyoushokuSoukouGuyver/,Kyoushoku Soukou Guyver
14482,1,1,tmotm,DemonOfSteelBattleOfTheGreatDemonBeasts-tmotm-1-1.rar,demon.of.steel.battle.of.the.great.demon.beasts.(1987).hun.1cd.(5681211).zip,./Feltoltes/DemonOfSteelBattleOfTheGreatDemonBeasts/,Demon Of Steel: Battle Of The Great Demon Beasts
2891,1,1,tmotm,Planzet-tmotm-1-1.rar,puranzetto.(2010).hun.1cd.(5570094).zip,./Feltoltes/Planzet/,Planzet
127,1,1,tmotm,MDGeistIIDeathForce-tmotm-1-1.rar,m.d.geist.ii.(1996).hun.1cd.(5570090).zip,./Feltoltes/MDGeistIIDeathForce/,MD Geist II: Death Force
3889,1,1,tmotm,DetroitMetalCityBirthoftheMetalDevil-tmotm-1-1.rar,detoroito.metaru.shiti.(2008).hun.1cd.(5570084).zip,./Feltoltes/DetroitMetalCityBirthoftheMetalDevil/,Detroit Metal City: Birth of the Metal Devil
